ld	K	pi0	dispersion	epsilon	model	model_key
sample	10	0.1	0.5	0.0	css	ld-sample_K-10_pi0-0.1_dispersion-0.5_epsilon-0.0_model-css
sample	10	0.1	0.5	0.1	css	ld-sample_K-10_pi0-0.1_dispersion-0.5_epsilon-0.1_model-css
sample	10	0.1	0.5	1.0	css	ld-sample_K-10_pi0-0.1_dispersion-0.5_epsilon-1.0_model-css
sample	10	0.1	0.5	10.0	css	ld-sample_K-10_pi0-0.1_dispersion-0.5_epsilon-10.0_model-css
sample	10	0.1	1.0	0.0	css	ld-sample_K-10_pi0-0.1_dispersion-1.0_epsilon-0.0_model-css
sample	10	0.1	1.0	0.1	css	ld-sample_K-10_pi0-0.1_dispersion-1.0_epsilon-0.1_model-css
sample	10	0.1	1.0	1.0	css	ld-sample_K-10_pi0-0.1_dispersion-1.0_epsilon-1.0_model-css
sample	10	0.1	1.0	10.0	css	ld-sample_K-10_pi0-0.1_dispersion-1.0_epsilon-10.0_model-css
sample	10	0.1	5.0	0.0	css	ld-sample_K-10_pi0-0.1_dispersion-5.0_epsilon-0.0_model-css
sample	10	0.1	5.0	0.1	css	ld-sample_K-10_pi0-0.1_dispersion-5.0_epsilon-0.1_model-css
sample	10	0.1	5.0	1.0	css	ld-sample_K-10_pi0-0.1_dispersion-5.0_epsilon-1.0_model-css
sample	10	0.1	5.0	10.0	css	ld-sample_K-10_pi0-0.1_dispersion-5.0_epsilon-10.0_model-css
eur1kG	10	0.1	0.5	0.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-0.0_model-css
eur1kG	10	0.1	0.5	0.1	css	ld-eur1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-0.1_model-css
eur1kG	10	0.1	0.5	1.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-1.0_model-css
eur1kG	10	0.1	0.5	10.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-10.0_model-css
eur1kG	10	0.1	1.0	0.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-0.0_model-css
eur1kG	10	0.1	1.0	0.1	css	ld-eur1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-0.1_model-css
eur1kG	10	0.1	1.0	1.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-1.0_model-css
eur1kG	10	0.1	1.0	10.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-10.0_model-css
eur1kG	10	0.1	5.0	0.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-5.0_epsilon-0.0_model-css
eur1kG	10	0.1	5.0	0.1	css	ld-eur1kG_K-10_pi0-0.1_dispersion-5.0_epsilon-0.1_model-css
eur1kG	10	0.1	5.0	1.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-5.0_epsilon-1.0_model-css
eur1kG	10	0.1	5.0	10.0	css	ld-eur1kG_K-10_pi0-0.1_dispersion-5.0_epsilon-10.0_model-css
afr1kG	10	0.1	0.5	0.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-0.0_model-css
afr1kG	10	0.1	0.5	0.1	css	ld-afr1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-0.1_model-css
afr1kG	10	0.1	0.5	1.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-1.0_model-css
afr1kG	10	0.1	0.5	10.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-0.5_epsilon-10.0_model-css
afr1kG	10	0.1	1.0	0.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-0.0_model-css
afr1kG	10	0.1	1.0	0.1	css	ld-afr1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-0.1_model-css
afr1kG	10	0.1	1.0	1.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-1.0_model-css
afr1kG	10	0.1	1.0	10.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-1.0_epsilon-10.0_model-css
afr1kG	10	0.1	5.0	0.0	css	ld-afr1kG_K-10_pi0-0.1_dispersion-5.0_epsilon-0.0_model-css
