sim_id	seed	gene	sim_method	sim_path	log_path	n_causal	n_tissues	causal_per_tissue	pve
eggdilpizs	344185274	ENSG00000182107.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/eggdilpizs/eggdilpizs.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/eggdilpizs/eggdilpizs.log	24	100	3	0.2
qzwesnganc	2733091203	ENSG00000081791.8	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/qzwesnganc/qzwesnganc.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/qzwesnganc/qzwesnganc.log	34	200	3	0.2
kyzrgzgcts	3160015453	ENSG00000068079.7	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/kyzrgzgcts/kyzrgzgcts.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/kyzrgzgcts/kyzrgzgcts.log	54	500	3	0.2
lpvuteffij	528891663	ENSG00000205097.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lpvuteffij/lpvuteffij.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lpvuteffij/lpvuteffij.log	77	1000	3	0.2
yvjjwadsew	2349745949	ENSG00000021488.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yvjjwadsew/yvjjwadsew.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yvjjwadsew/yvjjwadsew.log	24	100	3	0.2
xhyskylbep	2215525635	ENSG00000166278.14	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xhyskylbep/xhyskylbep.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xhyskylbep/xhyskylbep.log	34	200	3	0.2
vzjpdawvco	1236539210	ENSG00000274290.2	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vzjpdawvco/vzjpdawvco.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vzjpdawvco/vzjpdawvco.log	54	500	3	0.2
gccgadjhph	3297669543	ENSG00000170166.5	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gccgadjhph/gccgadjhph.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gccgadjhph/gccgadjhph.log	77	1000	3	0.2
nleosdhfdr	2666637343	ENSG00000120337.8	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/nleosdhfdr/nleosdhfdr.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/nleosdhfdr/nleosdhfdr.log	24	100	3	0.2
pkiwttdoqj	368959122	ENSG00000179271.2	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pkiwttdoqj/pkiwttdoqj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pkiwttdoqj/pkiwttdoqj.log	34	200	3	0.2
