sim_id	seed	gene	sim_method	sim_path	log_path	n_causal	n_tissues	causal_per_tissue	pve
jsmradnzwn	3431423595	ENSG00000080511.3	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jsmradnzwn/jsmradnzwn.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jsmradnzwn/jsmradnzwn.log	2	2	1	0.05
fxlsgdnxig	2231485992	ENSG00000171793.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/fxlsgdnxig/fxlsgdnxig.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/fxlsgdnxig/fxlsgdnxig.log	4	10	1	0.05
uyzsqpejsi	3484827660	ENSG00000084628.9	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/uyzsqpejsi/uyzsqpejsi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/uyzsqpejsi/uyzsqpejsi.log	6	20	1	0.05
zxfoetqocl	2280381458	ENSG00000277556.1	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/zxfoetqocl/zxfoetqocl.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/zxfoetqocl/zxfoetqocl.log	10	50	1	0.05
yygabwrmen	124740495	ENSG00000138068.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yygabwrmen/yygabwrmen.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yygabwrmen/yygabwrmen.log	2	2	2	0.05
pdechqjxhi	2172340376	ENSG00000126562.16	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pdechqjxhi/pdechqjxhi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pdechqjxhi/pdechqjxhi.log	6	10	2	0.05
gnbwswmrpv	2280273379	ENSG00000132680.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gnbwswmrpv/gnbwswmrpv.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gnbwswmrpv/gnbwswmrpv.log	8	20	2	0.05
xqplhelwqq	2056672219	ENSG00000205268.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xqplhelwqq/xqplhelwqq.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xqplhelwqq/xqplhelwqq.log	14	50	2	0.05
yrwbfrlnmr	644264570	ENSG00000175482.8	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yrwbfrlnmr/yrwbfrlnmr.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yrwbfrlnmr/yrwbfrlnmr.log	3	2	3	0.05
ujqpdeayab	3873320086	ENSG00000188167.8	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ujqpdeayab/ujqpdeayab.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ujqpdeayab/ujqpdeayab.log	7	10	3	0.05
fxsiqwrcwt	225156270	ENSG00000125995.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/fxsiqwrcwt/fxsiqwrcwt.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/fxsiqwrcwt/fxsiqwrcwt.log	10	20	3	0.05
wjabbzqsls	2577187443	ENSG00000068079.7	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/wjabbzqsls/wjabbzqsls.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/wjabbzqsls/wjabbzqsls.log	17	50	3	0.05
xxtogpgfzn	2519987294	ENSG00000114395.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xxtogpgfzn/xxtogpgfzn.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xxtogpgfzn/xxtogpgfzn.log	4	2	4	0.05
atguwcoian	647249846	ENSG00000158258.16	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/atguwcoian/atguwcoian.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/atguwcoian/atguwcoian.log	8	10	4	0.05
vztxkwffpw	3259080380	ENSG00000112763.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vztxkwffpw/vztxkwffpw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vztxkwffpw/vztxkwffpw.log	12	20	4	0.05
csirvagckj	1008057233	ENSG00000167565.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/csirvagckj/csirvagckj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/csirvagckj/csirvagckj.log	20	50	4	0.05
tceprzizlp	2427954145	ENSG00000183977.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/tceprzizlp/tceprzizlp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/tceprzizlp/tceprzizlp.log	4	2	5	0.05
jjlncxqwgp	3596509273	ENSG00000160613.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jjlncxqwgp/jjlncxqwgp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jjlncxqwgp/jjlncxqwgp.log	10	10	5	0.05
gdfolycdtj	234124589	ENSG00000177025.3	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gdfolycdtj/gdfolycdtj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gdfolycdtj/gdfolycdtj.log	14	20	5	0.05
ridkqonumj	1401313163	ENSG00000092529.23	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ridkqonumj/ridkqonumj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ridkqonumj/ridkqonumj.log	22	50	5	0.05
ykrypgxzyx	4276417998	ENSG00000144867.11	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ykrypgxzyx/ykrypgxzyx.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ykrypgxzyx/ykrypgxzyx.log	2	2	1	0.1
xfkhrmczjz	3627341356	ENSG00000174990.4	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xfkhrmczjz/xfkhrmczjz.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xfkhrmczjz/xfkhrmczjz.log	4	10	1	0.1
hnajaiqxnd	2558591049	ENSG00000168297.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/hnajaiqxnd/hnajaiqxnd.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/hnajaiqxnd/hnajaiqxnd.log	6	20	1	0.1
urkifpsric	3858626422	ENSG00000115459.17	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/urkifpsric/urkifpsric.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/urkifpsric/urkifpsric.log	10	50	1	0.1
jieegqgqgb	13695041	ENSG00000143624.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jieegqgqgb/jieegqgqgb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jieegqgqgb/jieegqgqgb.log	2	2	2	0.1
vhecgsiedt	2116197616	ENSG00000186190.7	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vhecgsiedt/vhecgsiedt.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vhecgsiedt/vhecgsiedt.log	6	10	2	0.1
ugjricrioj	2485257016	ENSG00000137656.11	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ugjricrioj/ugjricrioj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ugjricrioj/ugjricrioj.log	8	20	2	0.1
zaxiksoljn	636166334	ENSG00000125207.7	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/zaxiksoljn/zaxiksoljn.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/zaxiksoljn/zaxiksoljn.log	14	50	2	0.1
psbfjnkkqu	229723308	ENSG00000147852.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/psbfjnkkqu/psbfjnkkqu.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/psbfjnkkqu/psbfjnkkqu.log	3	2	3	0.1
vukkmxjodl	2120862796	ENSG00000151962.7	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vukkmxjodl/vukkmxjodl.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vukkmxjodl/vukkmxjodl.log	7	10	3	0.1
