sim_id	gene	source_model_path
asmapcghdg	ENSG00000149084.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000149084.12/ENSG00000149084.12.k20.pi01.gss
gcivshvbtk	ENSG00000148300.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000148300.11/ENSG00000148300.11.k20.pi01.gss
pxuqnhvgpr	ENSG00000115459.17	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000115459.17/ENSG00000115459.17.k20.pi01.gss
csorirlovy	ENSG00000256060.2	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000256060.2/ENSG00000256060.2.k20.pi01.gss
tktargehnv	ENSG00000170345.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000170345.9/ENSG00000170345.9.k20.pi01.gss
ntmlbsslea	ENSG00000276950.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000276950.5/ENSG00000276950.5.k20.pi01.gss
vwhwwtyjkv	ENSG00000100077.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000100077.14/ENSG00000100077.14.k20.pi01.gss
trschmpalz	ENSG00000143369.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000143369.14/ENSG00000143369.14.k20.pi01.gss
xrlbmxyzyk	ENSG00000131389.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000131389.16/ENSG00000131389.16.k20.pi01.gss
kbjxowaote	ENSG00000122679.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000122679.8/ENSG00000122679.8.k20.pi01.gss
dtugmaughn	ENSG00000170959.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000170959.14/ENSG00000170959.14.k20.pi01.gss
inbmfrgjyj	ENSG00000197056.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000197056.9/ENSG00000197056.9.k20.pi01.gss
eckfkcouub	ENSG00000100324.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000100324.13/ENSG00000100324.13.k20.pi01.gss
qyznaomoql	ENSG00000124227.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr20/ENSG00000124227.5/ENSG00000124227.5.k20.pi01.gss
bwcoxvifth	ENSG00000115507.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000115507.9/ENSG00000115507.9.k20.pi01.gss
karztusacp	ENSG00000205097.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000205097.6/ENSG00000205097.6.k20.pi01.gss
gvnxtocvvr	ENSG00000169031.18	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000169031.18/ENSG00000169031.18.k20.pi01.gss
xmxmfrgbxu	ENSG00000170748.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000170748.6/ENSG00000170748.6.k20.pi01.gss
xxkklyswnk	ENSG00000189007.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000189007.15/ENSG00000189007.15.k20.pi01.gss
sdmkwgduek	ENSG00000173401.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000173401.9/ENSG00000173401.9.k20.pi01.gss
dwfllqzurh	ENSG00000110852.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000110852.4/ENSG00000110852.4.k20.pi01.gss
dyxxjeoolj	ENSG00000197870.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000197870.12/ENSG00000197870.12.k20.pi01.gss
cajvvagcvy	ENSG00000145833.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000145833.15/ENSG00000145833.15.k20.pi01.gss
deujjcqxoe	ENSG00000187123.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000187123.14/ENSG00000187123.14.k20.pi01.gss
wdbxpjnpld	ENSG00000134222.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000134222.16/ENSG00000134222.16.k20.pi01.gss
miurbhupdo	ENSG00000181234.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000181234.9/ENSG00000181234.9.k20.pi01.gss
txlzaeoyfx	ENSG00000196793.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000196793.13/ENSG00000196793.13.k20.pi01.gss
cogoeltpdt	ENSG00000175105.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000175105.6/ENSG00000175105.6.k20.pi01.gss
iuwvlmaakk	ENSG00000114395.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000114395.10/ENSG00000114395.10.k20.pi01.gss
wxfrktnisa	ENSG00000185920.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000185920.15/ENSG00000185920.15.k20.pi01.gss
