sim_id	seed	gene	sim_method	source_model_path	sim_path	log_path
blvjsvbqhh	3793137437	ENSG00000089248.6	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000089248.6/ENSG00000089248.6.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/blvjsvbqhh/blvjsvbqhh.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/blvjsvbqhh/blvjsvbqhh.log
muksltmnra	3280460808	ENSG00000283268.1	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000283268.1/ENSG00000283268.1.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/muksltmnra/muksltmnra.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/muksltmnra/muksltmnra.log
oummovisuo	1179937002	ENSG00000110852.4	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000110852.4/ENSG00000110852.4.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/oummovisuo/oummovisuo.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/oummovisuo/oummovisuo.log
rbjnckfvhw	2149865925	ENSG00000147481.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000147481.14/ENSG00000147481.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rbjnckfvhw/rbjnckfvhw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rbjnckfvhw/rbjnckfvhw.log
eboivfdcyg	22306109	ENSG00000122862.4	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000122862.4/ENSG00000122862.4.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/eboivfdcyg/eboivfdcyg.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/eboivfdcyg/eboivfdcyg.log
tkqpruinex	3457460698	ENSG00000109775.10	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000109775.10/ENSG00000109775.10.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/tkqpruinex/tkqpruinex.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/tkqpruinex/tkqpruinex.log
hawgrmiooe	3662749431	ENSG00000139174.11	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000139174.11/ENSG00000139174.11.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hawgrmiooe/hawgrmiooe.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hawgrmiooe/hawgrmiooe.log
yyvegpiexz	3157712856	ENSG00000125995.15	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr20/ENSG00000125995.15/ENSG00000125995.15.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/yyvegpiexz/yyvegpiexz.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/yyvegpiexz/yyvegpiexz.log
dwlbqitqwz	362536478	ENSG00000136536.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000136536.14/ENSG00000136536.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/dwlbqitqwz/dwlbqitqwz.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/dwlbqitqwz/dwlbqitqwz.log
agvfdiqgrh	1964439291	ENSG00000164741.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000164741.14/ENSG00000164741.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/agvfdiqgrh/agvfdiqgrh.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/agvfdiqgrh/agvfdiqgrh.log
